audio_file,transcribed_text
1249120_44246595_76562955.wav,"When I go to stand, my head starts swirling."
1249120_44246595_77258445.wav,I was playing soccer and I twisted my ankle.
1249120_44246595_85567147.wav,"When I get up, I see my skin vague."
1249120_44246595_86895734.wav,- Physical wound infection.
1249120_44246595_89098147.wav,I don't know why I'm constantly sad.
1249120_44246595_89466082.wav,I often get a stomachache after I eat. I haven't been able to pinpoint which foods may be the trigger.
1249120_44246595_89680770.wav,I don't have the energy to do the things that I used to.
1249120_44246595_92310242.wav,I wake up at night feeling cold.
1249120_44246595_92462780.wav,He was discovered to have an open wound.
1249120_44246595_94621639.wav,I feel pain inside. I do not know what it is.
1249120_44246595_95208403.wav,I can't stand with this horrible feeling in my stomach.
1249120_44246595_95437414.wav,I feel shoulder pain at intervals of time.
1249120_44246595_95549576.wav,I have issue with my skin.
1249120_44246595_99457284.wav,"When I eat, I feel my stomach hurts."
1249120_44246595_101823153.wav,I feel pain in my right shoulder after the tennis match.
1249120_44246595_105657955.wav,I have a feeling like my whole body is complaining.
1249120_44246595_107248522.wav,I notice an important decrease in my vision when I try to look at things up close.
1249120_44246595_108705425.wav,"I have a footache, although I don't walk a lot."
1249120_44259428_16757387.wav,I fit this cohort to allow the body in general.
1249120_44259428_17428469.wav,I should say my name where I plan for today.
1249120_44259428_17570271.wav,"I trouble my brain, my feelings, it's a problem. And this time, I'll heal my hair, my ink, love, and death."
1249120_44259428_19250068.wav,I'm not feeling good. I can't take my breath.
1249120_44259428_19293556.wav,My business does not take action after I went to the end.
1249120_44259428_20551217.wav,I have this people working more in my next.
1249120_44259428_25649773.wav,I can't believe it.
1249120_44259428_26033114.wav,He is in fact a girl who has been able to draw up.
1249120_44259428_28102523.wav,I have a hope and will end in my garden.
1249120_44259428_31222743.wav,My brand is filled with and I pray to make you see love. When it's filled by love.
1249120_44259428_32632229.wav,I feel painly hurt when I wake up.
1249120_44259428_34986999.wav,I gave to us all the people on my face. That's another way.
1249120_44259428_34993210.wav,I feel very quick in my body.
1249120_44259428_36852781.wav,I'm going to be more of a seat here. I'm going to stop rolling on how to get revenge on my ex-husband.
1249120_44259428_38940948.wav,I think we are in so many.
1249120_44259428_39681967.wav,Go ahead and leave yourself a very full request on St. Arthur's Land.
1249120_44259428_45195927.wav,I have to go home in my garden.
1249120_44259428_45992221.wav,I feel very late to ash.
1249120_44259428_46472982.wav,May I say that we can't badly air them out on my side.
1249120_44259428_46527054.wav,I have not seen it in my room that will not heal.
1249120_44259428_49203869.wav,I feel depressed when I have fun in now.
1249120_44259428_50914735.wav,I feel like going at 10 now.
1249120_44259428_50949983.wav,I have only internal pain. I cannot describe.
1249120_44259428_51361064.wav,It is hard to believe when they end up in the ground with their attention. Why?
1249120_44259428_52926868.wav,"Hello, good evening. Good evening."
1249120_44259428_52976378.wav,My back hurts so much. I get burned down to team isolate.
1249120_44259428_53172278.wav,I have a motivation since I work this morning. What could be the reason?
1249120_44259428_53848525.wav,I can't move my head up and down.
1249120_44259428_54047497.wav,and having to help the stories because the better our voices.
1249120_44259428_54344716.wav,"Now if you like the hidden commercial opinion, I said, ""Welcome to my Grapery."""
1249120_44259428_54532216.wav,"If you have, there are family homes."
1249120_44259428_55288440.wav,My check is made to come with simple and I have...
1249120_44259428_56194683.wav,I have a good idea.
1249120_44259428_56567581.wav,"I go straight in the head, play it out last night."
1249120_44259428_57761508.wav,I can't believe I have a hard job.
1249120_44259428_58709056.wav,Would I do hard research? I feel great to meet you in my muscles.
1249120_44259428_58867514.wav,I took that long screen by the same screen problem.
1249120_44259428_59884279.wav,I have a provision to do the same way as training in the phone. Why?
1249120_44259428_61618701.wav,"My head got passes, when I try to drop."
1249120_44259428_65420088.wav,I should have been writing a hair.
1249120_44259428_67815432.wav,I have missed off for two weeks.
1249120_44259428_71308387.wav,"I'm a really nice running. I'm an actor, an engineer, or a tishali."
1249120_44259428_72249048.wav,"I break out all my face, beautiful crying."
1249120_44259428_72865674.wav,"May your app pause, we'll next day."
1249120_44259428_75102963.wav,"I could buy a couple of things ago. And also, as you can see, I'm using it, except it has been close up."
1249120_44259428_75809403.wav,I have good people.
1249120_44259428_76204403.wav,"If you look at this whole day, good pray."
1249120_44259428_77483299.wav,"I have a very angry character, or when it's been called, why?"
1249120_44259428_82428785.wav,to last a walk and walk my erectively. The walk is so wide.
1249120_44259428_83019694.wav,I should pay in the lower lap.
1249120_44259428_84387587.wav,"My next army, and I kill you now for us."
1249120_44259428_84461460.wav,"We are now at 10 now, I filled it."
1249120_44259428_86445054.wav,"My son, who is in the person and he is following and he is I am a she is a she is a she is a she is a she is a she is a she a she a she a she a she a"
1249120_44259428_87762932.wav,I have had next before my face.
1249120_44259428_88280001.wav,"When we got this like, it is very much wrong when I go home."
1249120_44259428_89970708.wav,I have a cafe in my neck.
1249120_44259428_90522474.wav,Come from the ocean at the level of the jungle of the river and the island.
1249120_44259428_91754229.wav,"Oh, my head for me. I tend to be kind and I can't."
1249120_44259428_92199033.wav,I feel this after doing a most lot of work.
1249120_44259428_95841310.wav,I could not emphasize because of my pain.
1249120_44259428_96688403.wav,I have this equally increasing in closet prices.
1249120_44259428_97884452.wav,I am pleased to have you.
1249120_44259428_100443017.wav,They are paying in my phone.
1249120_44259428_100658896.wav,I hope I put the light in my head.
1249120_44259428_102515958.wav,I want to come and I share an injury from a sport in my knee.
1249120_44259428_103086666.wav,I can't get it anything. I have a baby for my shelter.
1249120_44259428_105662498.wav,"I will say in basketball yesterday, I have a bright ankle."
1249120_44259428_105786249.wav,I feel a bonus extension in my shoulder muscles.
1249120_44259428_106881229.wav,"I walk everywhere, but now I get chow away after I go on I should away."
1249120_44259428_107372342.wav,I feel so very good.
1249120_44259428_107932197.wav,I can't help that man yet.
1249120_44259428_108477882.wav,"When it hurts about the world, that it is getting more than I should."
1249120_44259428_108575544.wav,My next real step.
1249120_44259428_108958575.wav,"I'm sitting called, ""Fold and the H.I."""
1249120_44263136_10880734.wav,I had internal pain and gases when I ate in GM's spicy fruit yesterday.
1249120_44263136_11828866.wav,There is a sharp pain in my bicep. I have tried to apply and be really cream but it does not help.
1249120_44263136_12662866.wav,I feel pain in the meat.
1249120_44263136_13172477.wav,Sometimes my body feels weak without reasoning.
1249120_44263136_13332887.wav,My knee touches and hurts when I first turn up after seating.
1249120_44263136_13651055.wav,My ankle joint throat when I put pressure on my foot.
1249120_44263136_15762375.wav,"I always feel like half an inch of paint, even if I don't have my period."
1249120_44263136_18526428.wav,In high school I had a lot of acne.
1249120_44263136_20870238.wav,"My body feels weak, overall I take my body I'm usually wearing literally."
1249120_44263136_22818184.wav,I have a red brush that is itching or making.
1249120_44263136_25998544.wav,I have pain like needles in my joints.
1249120_44263136_26194304.wav,My food had been aching since last Tuesday.
1249120_44263136_27728779.wav,I have a heart pain in my stomach.
1249120_44263136_28094510.wav,I can stop shaking or I'm kind to my jaw. That's how cool I was.
1249120_44263136_30518887.wav,Long she choosing all burning line across back with her spiritary movements.
1249120_44263136_31123906.wav,I get bit patches of irritated pimples all my back and they hurt.
1249120_44263136_31607750.wav,I feel aging on my insides.
1249120_44263136_34327747.wav,My hair always falls out and I have lost a lot of hair.
1249120_44263136_34906231.wav,I have severe dry golf.
1249120_44263136_36286570.wav,My net has been sourced and exited.
1249120_44263136_36341086.wav,I feel cold when that comes.
1249120_44263136_41431969.wav,I have a headache almost every day.
1249120_44263136_42090113.wav,There are times when I feel crushed under huge way in no air-cut into my locks. It actually scares the hail out of me when it happens.
1249120_44263136_42546148.wav,I feel pain inside and I cannot but I can fight.
1249120_44263136_43213149.wav,having difficulty moving my knee.
1249120_44263136_44160087.wav,"I feel sharp, plain, and stomach after eating."
1249120_44263136_46878275.wav,"I'm not hearing well, I have problem with my ear."
1249120_44263136_47696189.wav,The worst headache was during a hangover in my twenties. I sincerely thought I was going to die for all brain formation.
1249120_44263136_49038863.wav,"I have a Magrane and a 2-headle, but it does not help."
1249120_44263136_49448724.wav,Is there a cure for acne?
1249120_44263136_50406387.wav,I feel pain in the knee when walking.
1249120_44263136_51547342.wav,I feel emotionally crushed.
1249120_44263136_51762834.wav,My back hurts a lot when I bend.
1249120_44263136_52222173.wav,"Every time I make a effort, I felt dizzy."
1249120_44263136_55671220.wav,I feel that it's great painting my life's shoulder.
1249120_44263136_57609608.wav,My body aches on the inside between my hips and shoulders.
1249120_44263136_58592964.wav,My chest hurts when I got to take a breath.
1249120_44263136_58938609.wav,"When I drink a lot, I get a headache."
1249120_44263136_59289865.wav,"When I'm too high, I start to feel dizzy."
1249120_44263136_63958069.wav,I feel pain in my bag.
1249120_44263136_64809479.wav,My whip is hurting so much.
1249120_44263136_68968933.wav,"I used a lot of painkiller to get better, but I still built the same back pain."
1249120_44263136_70702677.wav,I feel a great pain in my shoulder joint and it does not go away.
1249120_44263136_71092044.wav,My body feels like it's another refrigerator.
1249120_44263136_77095387.wav,Have some ear code in the car.
1249120_44263136_78073786.wav,My knee is a swallowing which indicates that I have an infected wound.
1249120_44263136_78833554.wav,I feel sad.
1249120_44263136_79226700.wav,I'm very worried that I go vaults in my Versic.
1249120_44263136_81225662.wav,I feel like I'm hardly breathing unless you get what's in my lungs out.
1249120_44263136_82613525.wav,I feel like I've always got something in my throat.
1249120_44263136_82626452.wav,I have a problem in my middle ear with my inspection.
1249120_44263136_83669979.wav,I hardly have an extreme to get up.
1249120_44263136_85067361.wav,My throat is so sore.
1249120_44263136_86205654.wav,My body feels with overall eye-etalot. Why?
1249120_44263136_87409253.wav,Sturdy legs are for the eye.
1249120_44263136_87455428.wav,My ankle is hurting me.
1249120_44263136_88227448.wav,I cut my foot of the pool and he breaks open every day when I walk in it.
1249120_44263136_89141475.wav,My heart hurts while I'm sad.
1249120_44263136_89689013.wav,I can walk my knee hurt me.
1249120_44263136_92015834.wav,"When I wake up in the morning, I feel dizzy."
1249120_44263136_93647784.wav,Everything looks like being in a smoky area.
