file_name,transcribed_text,phrase
1249120_44415714_12774994.wav,You're basically...,I read a book for along time and when I finished reading I feel head ache
1249120_44323331_89529293.wav,My hair is healing out in hog amount.,My hair is falling out in huge amount
1249120_44263136_64809479.wav,My foot is hurting so much.,My foot is hurting so much.
1249120_44259428_83019694.wav,I feel very in the lower ground.,I feel pain in the lower back
1249120_44259428_45992221.wav,I feel very much.,i feel pain in my stomach
1249120_44273314_28827187.wav,"My child has scuff all night, she can't sleep.","my child has cough all night, she can't sleep"
1249120_44294866_20041027.wav,I am disappointed.,i'm disappointed
1249120_44294866_98831261.wav,I feel it easy when he said in front of my laptop for an hour or two. What possibly could be the reason?,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?"
1249120_44263136_42546148.wav,I feel pain inside and I can't identify it.,I feel pain inside and I can not identify it
1249120_44323331_89173398.wav,I have an indication.,I have an indigestion
1249120_44323331_27898617.wav,I feel the way I stand up,I feel dizzy whenever I stand up.
1249120_44259428_102515958.wav,"When I was drunk, I had an injury from a sport in my neck.",When I was young I had an injury from sports in my knee.
1249120_44259428_108958575.wav,"I'm feeling cold, so I'm going to eat high.",I m feeling cold though the temperature is high
1249120_44259428_17428469.wav,I feel my neck where I climb the stairs.,I feel pain in my knee when I climb the stairs.
1249120_44259428_19293556.wav,My business is taking action after I won't ring.,My biceps started aching after I went to the gym
1249120_44259428_38940948.wav,I think so. Also we are in Selma.,I feel cold although we are in summer.
1249120_44259428_39681967.wav,Granny uses a fire for reggae on St. Francis's ground.,Chronic disease of hair follicles and sebaceous glands
1249120_44259428_46527054.wav,I have not leaked off my soul that will not heal.,I have a split on my thumb that will not heal.
1249120_44259428_50914735.wav,I feel like I'm going to stand up.,I feel lightheaded when I stand up
1249120_44259428_53172278.wav,I have a motivation since I woke up this morning. What could be the reason?,"I have a blurry vision since I woke up this morning, what could be the reason?"
1249120_44259428_58867514.wav,I took a long swing by it's influence the same skin problem.,I tried alot of cream but i still feel the same skin problem
1249120_44259428_59884279.wav,I have applied efficient duty machine training in the pool.,"I have a blurry vision during my swimming training in the pool, why?"
1249120_44259428_71308387.wav,"I am a nurse early, or a doctor, an angel or a child.","Annoyance starts suddenly, often after an injury or exercise."
1249120_44259428_75102963.wav,"I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I put my hand, I",I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.
1249120_44259428_77483299.wav,I have a preparation in winter or when it should go wide.,"I have a foot ache in winter, or when it feels cold, why?"
1249120_44259428_82428785.wav,"The last one looking and wrong my neck, my glist. The wrong is so wide.",glass broken and wound my leg badly the wound is so wide
1249120_44263136_107507771.wav,My son had a root canal and the dentist accidentally cut the inside of this cheek and now he will not heal.,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.
1249120_44263136_13332887.wav,My knee touches and hurts when I first turn up after seeding.,My knee catches and hurts when I first stand up after sitting.
1249120_44263136_27728779.wav,I have a heart brain in my stomach.,i have a hard pain in my stomach
1249120_44263136_34906231.wav,I have severe dry cough.,i have severe dry cough
1249120_44263136_47696189.wav,The worst headache was during the hangover in my 20s. I sincerely thought I was going to die from a brain formation.,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.
1249120_44263136_83669979.wav,I hardly have enough strain to get up.,"I hardly have enough stength to get up,"
1249120_44263136_87409253.wav,Stereo lags are for the eye.,Sterilizer for the eye
1249120_44263136_94477614.wav,My shoulder aches when I try to lift 5 pounds.,My shoulder aches when I try to lift five pounds.
1249120_44273314_93618448.wav,I have a hot pain in my stomach.,i have a hard pain in my stomach
1249120_44294866_102078306.wav,I should have been in my kneecop after working out.,I have shooting pain in my kneecap after working out.
1249120_44294866_103485284.wav,My daughter had her age brown 3D and it bullets on openings of skin in one of her browns that is no dirty and easy.,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.
1249120_44294866_15891095.wav,I have shorter pain when I try to carry my groceries.,I have shoulder pain when I try to carry my groceries.
1249120_44294866_23003547.wav,I feel weak all over.,I feel weak all over.
1249120_44294866_30296550.wav,The crush and sensation of my heart leave me rattle us.,The crushing sensation on my heart leaves me breathless.
1249120_44294866_53414183.wav,I'm not God. I am feeling so cold.,I'm not good i'm feeling so cold
1249120_44294866_72495478.wav,my head hurts when I'm doing this.,My head hurts when I'm doing this.
1249120_44294866_73599319.wav,"When I force my eyes to be, I have really been so.",When I force my eyes to view I have blurry vision.
1249120_44294866_90929031.wav,It is like a half a needle it push and throw my arm.,It is like I have a needle pushing through my heart.
1249120_44294866_96337692.wav,"When I bend over, I get to shoot and bang down my back.",When I bend over I get a shooting pain down my back
1249120_44323331_16235297.wav,"When I play football, I have joined it.",When I play football I have joint pain.
1249120_44323331_17693815.wav,I cannot bark because of the torch.,i can't breath because of  Cough
1249120_44323331_24602215.wav,There is pain in my head. I cannot bear pain.,There is pain in my joints. I can not bear pain
1249120_44323331_25847807.wav,My right shoulder clicks when I move my arm.,My right shoulder clicks when I move my arm.
1249120_44323331_42291661.wav,I have a strong salami,i have a strong shoulder pain
1249120_44323331_53313006.wav,"broke my ankle, wheel docking rock claiming in the operating",I broke my ankle while doing rock climbing in the Carpathians.
1249120_44323331_61837950.wav,I have been feeling very sad lately.,I've been feeling very sad lately
1249120_44323331_63502960.wav,like they are in and needles streaking in my germs.,Feels like there are pins and needles sticking in my joints
1249120_44323331_81893062.wav,I feel pain in my ears with tinnitus,I feel pain in my ears with tinnitus
1249120_44323331_95219530.wav,I feel pain in my knee,i feel pain in my knee
1249120_44323331_95484507.wav,"My son had you low up, that's me.",My son has a lot of acne.
1249120_44323331_95561004.wav,Oh and I go to sleep. I am feeling cold.,When I go to sleep I am feeling cold
1249120_44442354_52494335.wav,I can help and govern the cup of my angle.,I can't get a girlfriend because of my acne.
1249120_44259428_100658896.wav,I hop up and let it get in my head.,I have a dull ache in my head
1249120_44259428_103086666.wav,I can't get anything. I have a pain in my shoulder.,I can't carry anything I have a pain in my shoulder
1249120_44259428_106881229.wav,"I will be willing, but now I get chara free after going on a short way.",I walk every day but now I get short of breath after going only a short way.
1249120_44259428_107372342.wav,I feel head and age.,i feel head ache
1249120_44259428_17570271.wav,"I travelled by plane of Egois, and this time he landed my ever-mind club and pencil.",I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.
1249120_44259428_26033114.wav,His infected lung was my animal to drop.,His infected wound was beginning to rot.
1249120_44259428_28102523.wav,I have a open wand in my arm.,I have an open wound in my arm
1249120_44259428_31222743.wav,My wife feels free and I try to make you feel love when you feel pain.,My body feels weak and I tried to make it relax but it stills pain me
1249120_44259428_34993210.wav,I feel very weak in my body.,I feel very weak in my body
1249120_44259428_45195927.wav,I have trouble in my shoulder.,I have throbing in my shoulder
1249120_44259428_49203869.wav,I feel depressed when I see my hair funny now.,I feel depressed when I see my hair falling out
1249120_44259428_51361064.wav,You need to have to breathe when I use the ground weather station. Why?,"It is hard to breath when I am in the underground metro station, why?"
1249120_44259428_54047497.wav,I am having to help the noise because the birds are all frozen.,I'm having a hard time reading because the letters are all fuzzy
1249120_44259428_54344716.wav,I feel that she took emotional pain as I broke with my carefree.,I feel a huge emotional pain after I broke up with my girlfriend.
1249120_44259428_61618701.wav,My head good passes when I try to get up.,My head gets dizzy when I try to get up.
