file_name,transcribed_text,phrase
1249120_44415714_12774994.wav,[speaking in foreign language],I read a book for along time and when I finished reading I feel head ache
1249120_44323331_89529293.wav,My hair is feeling out in hug amount.,My hair is falling out in huge amount
1249120_44263136_64809479.wav,My whip is hurting so much.,My foot is hurting so much.
1249120_44259428_83019694.wav,I should pay in the lower lap.,I feel pain in the lower back
1249120_44259428_45992221.wav,I feel very late to ash.,i feel pain in my stomach
1249120_44273314_28827187.wav,"My child has tough all night, she can't sleep.","my child has cough all night, she can't sleep"
1249120_44294866_20041027.wav,I am disappointed.,i'm disappointed
1249120_44294866_98831261.wav,I feel this when I said in front of my laptop for an hour or two. What was it being? It could be the reason.,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?"
1249120_44263136_42546148.wav,I feel pain inside and I cannot but I can fight.,I feel pain inside and I can not identify it
1249120_44323331_89173398.wav,I have an indigestant.,I have an indigestion
1249120_44323331_27898617.wav,"I build it, where ever I stand up.",I feel dizzy whenever I stand up.
1249120_44259428_102515958.wav,I want to come and I share an injury from a sport in my knee.,When I was young I had an injury from sports in my knee.
1249120_44259428_108958575.wav,"I'm sitting called, ""Fold and the H.I.""",I m feeling cold though the temperature is high
1249120_44259428_17428469.wav,I should say my name where I plan for today.,I feel pain in my knee when I climb the stairs.
1249120_44259428_19293556.wav,My business does not take action after I went to the end.,My biceps started aching after I went to the gym
1249120_44259428_38940948.wav,I think we are in so many.,I feel cold although we are in summer.
1249120_44259428_39681967.wav,Go ahead and leave yourself a very full request on St. Arthur's Land.,Chronic disease of hair follicles and sebaceous glands
1249120_44259428_46527054.wav,I have not seen it in my room that will not heal.,I have a split on my thumb that will not heal.
1249120_44259428_50914735.wav,I feel like going at 10 now.,I feel lightheaded when I stand up
1249120_44259428_53172278.wav,I have a motivation since I work this morning. What could be the reason?,"I have a blurry vision since I woke up this morning, what could be the reason?"
1249120_44259428_58867514.wav,I took that long screen by the same screen problem.,I tried alot of cream but i still feel the same skin problem
1249120_44259428_59884279.wav,I have a provision to do the same way as training in the phone. Why?,"I have a blurry vision during my swimming training in the pool, why?"
1249120_44259428_71308387.wav,"I'm a really nice running. I'm an actor, an engineer, or a tishali.","Annoyance starts suddenly, often after an injury or exercise."
1249120_44259428_75102963.wav,"I could buy a couple of things ago. And also, as you can see, I'm using it, except it has been close up.",I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.
1249120_44259428_77483299.wav,"I have a very angry character, or when it's been called, why?","I have a foot ache in winter, or when it feels cold, why?"
