file_name,edge_transcript,time_taken_seconds,original_transcript,wer_edge
1249120_44246595_101823153.wav,I feel pain in my raised shoulder after the tennis match.,6.388773,I feel pain in my right shoulder after the tennis match.,0.09090909090909091
1249120_44246595_105657955.wav,I have a feeling like my whole body is complaining.,2.998167,I have a feeling like my whole body is complaining,0.0
1249120_44246595_107248522.wav,I notice an important decrease in my vision when I try to look at things up close.,3.411189,I noticed an important decrease in my vision when I try to look at things up close.,0.058823529411764705
1249120_44246595_108705425.wav,"I have a foot ache, although I don't walk a lot.",3.129872,I have a foot ache although I don't walk a lot.,0.0
1249120_44246595_76562955.wav,"When I go to stand, my head starts swirling.",3.02099,"When I go to stand, my head starts swirling",0.0
1249120_44246595_77258445.wav,I was playing soccer and I twisted my ankle.,2.887012,I was playing soccer and I twisted my ankle,0.0
1249120_44246595_85567147.wav,"When I get up, I see my skin big.",2.927121,When i get up i see my skin vague,0.1111111111111111
1249120_44246595_86895734.wav,surgical wound infection,2.732583,Surgical wound infections,0.3333333333333333
1249120_44246595_89098147.wav,I don't know why I'm constantly sad.,2.978848,I don't know why I'm constantly sad.,0.0
1249120_44246595_89466082.wav,I often get a stomach ache after I eat. I haven't been able to pinpoint which foods may be the trigger.,3.643178,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,0.047619047619047616
1249120_44246595_89680770.wav,I don't have the energy to do the things that I used to.,3.144412,I don't have the energy to do the things that I used to,0.0
1249120_44246595_92310242.wav,I wake up at night feeling cold.,2.915608,I wake up at night feeling cold,0.0
1249120_44246595_92462780.wav,He was discovered to have an open wound.,2.888639,He was discovered to have an open wound.,0.0
1249120_44246595_94621639.wav,I feel pain inside. I do not know what it is.,3.084435,I feel pain inside I do not know what it is,0.0
1249120_44246595_95208403.wav,I can't stand with this horrible feeling in my stomach.,2.937427,I can't stand with this horrible feeling in my stomach,0.0
1249120_44246595_95437414.wav,I feel shoulder pain at intervals of time.,2.857891,I feel shoulder pain at intervals of time.,0.0
1249120_44246595_95549576.wav,I have issue with my skin.,2.725809,i have issue with my skin,0.0
1249120_44246595_99457284.wav,"When I eat, I feel my stomach hurts.",2.926844,When i eat i feel my stomach hurts,0.0
1249120_44259428_100443017.wav,They are planning in my foot.,2.736959,there pain in my foot,0.6
1249120_44259428_100658896.wav,Oh! Help yourself if you are doing it!,9.472136,I have a dull ache in my head,1.0
1249120_44259428_102515958.wav,"When I worked along, I shared an injury from a sport in my knee.",3.225291,When I was young I had an injury from sports in my knee.,0.38461538461538464
1249120_44259428_103086666.wav,"I can't get hurt any, I hop up any, we'll make sure we're there.",3.782699,I can't carry anything I have a pain in my shoulder,1.0
1249120_44259428_105662498.wav,"I will play a masquerade just a minute, I have a break, thank you.",3.746385,"i was playing basketball yesterday, i have sprained ankle",1.2222222222222223
1249120_44259428_105786249.wav,I feel a good sensation in my shoulder muscles.,3.310455,I feel a burning sensation in my shoulder muscle.,0.2222222222222222
1249120_44259428_106881229.wav,"I want everything that now I get charred for you, I've been along on a similar way.",3.832423,I walk every day but now I get short of breath after going only a short way.,0.7058823529411765
1249120_44259428_107372342.wav,If you have done it,2.810705,i feel head ache,1.25
1249120_44259428_107932197.wav,I can't look at my neck.,2.885217,i can't rotate my neck,0.4
1249120_44259428_108477882.wav,"Many first of us will, that we face it in more than ice cream.",3.39684,My knees hurt so bad to walk that I stay sitting more than I should.,0.8666666666666667
1249120_44259428_108575544.wav,"My next build stiff,",6.698466,My neck feels stiff,0.5
1249120_44259428_108958575.wav,"I'm sitting in the car, so I'm going to take this high.",3.250188,I m feeling cold though the temperature is high,1.2222222222222223
1249120_44259428_16757387.wav,"If you disconfort, drop out the body in general.",3.044942,I feel discomfort throughout the body in general,0.625
1249120_44259428_17428469.wav,I should bury my neck where I climb this today.,2.93408,I feel pain in my knee when I climb the stairs.,0.6363636363636364
1249120_44259428_17570271.wav,"I travel by plane, I feel it's a bomb. And this time, you and me might ever make love and pay for.",8.871061,I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,0.7894736842105263
1249120_44259428_19250068.wav,"I'm not free with, I can't take my way.",2.999377,I'm not feeling good I can't take my breath,0.3333333333333333
1249120_44259428_19293556.wav,May be there's no take action after I won't be re-ing.,3.234386,My biceps started aching after I went to the gym,1.0
1249120_44259428_20551217.wav,I have the people who came home in my neck.,2.884414,i have difficulty moving my neck,1.0
1249120_44259428_25649773.wav,I can't move it.,2.649701,i cant breathe,0.6666666666666666
1249120_44259428_26033114.wav,"He soon enjoyed the absence of his secretary. Your story, I wish you the best of luck!",10.67352,His infected wound was beginning to rot.,2.2857142857142856
1249120_44259428_28102523.wav,I have a problem in my parents.,2.904746,I have an open wound in my arm,0.5
1249120_44259428_31222743.wav,"My run to field field and I try to make you sooner, but it's still pain.",3.274086,My body feels weak and I tried to make it relax but it stills pain me,0.625
1249120_44259428_32632229.wav,"I feel pain, they help, where I wake up.",2.911408,I feel pain in my heart when I wake up,0.4
1249120_44259428_34986999.wav,"I get crossed on the field along my face, that's all they're going away.",3.292689,I get clusters of pimples on my face that never go away.,0.75
1249120_44259428_34993210.wav,I feel very weak in my body.,2.789993,I feel very weak in my body,0.0
1249120_44259428_36852781.wav,I grab the more or less here and I just can't stop dwelling on how to get a bench on my ex-husband.,3.727719,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,0.47619047619047616
1249120_44259428_38940948.wav,"If you call, also we are insolent.",2.90567,I feel cold although we are in summer.,0.75
1249120_44259428_39681967.wav,için of how this has gone,13.032828,Chronic disease of hair follicles and sebaceous glands,0.875
1249120_44259428_45195927.wav,They have garbage in my toilet,8.393719,I have throbing in my shoulder,0.5
